Instance,AvgTime
N-be75eec_150,22.0727
N-be75np_150,22.84685
N-be75oi_150,31.82815
N-be75tot_150,22.3964
N-stabu1_150,23.7299
N-stabu2_150,24.57105
N-stabu3_150,23.97835
N-t59b11xx_150,23.187
N-t59d11xx_150,24.21895
N-t59f11xx_150,19.57155
N-t59n11xx_150,24.7623
N-t65b11xx_150,26.25305
N-t65d11xx_150,18.8593
N-t65f11xx_150,22.0227
N-t65l11xx_150,21.7412
N-t65n11xx_150,21.9899
N-t69r11xx_150,27.57895
N-t70b11xx_150,26.32435
N-t70d11xn_150,21.7334
N-t70d11xx_150,23.1466
N-t70f11xx_150,17.6518
N-t70l11xx_150,32.1813
N-t70n11xx_150,24.37505
N-t74d11xx_150,20.8891
N-t75d11xx_150,24.3235
N-t75e11xx_150,22.89345
N-t75k11xx_150,27.1095
N-t75n11xx_150,23.60715
N-tiw56n54_150,21.1215
N-tiw56n58_150,22.8186
N-tiw56n62_150,22.41225
N-tiw56n66_150,20.65155
N-tiw56n67_150,23.69545
N-tiw56n72_150,23.76775
N-tiw56r54_150,20.4552
N-tiw56r58_150,24.2724
N-tiw56r66_150,20.04465
N-tiw56r67_150,28.8173
N-tiw56r72_150,22.41135
