Algorithm Size Time Deviation
iter_best_exchange_cw 150 4.544384 3.62868365465375
iter_best_exchange_random 150 4.690247 3.64335585842101
iter_best_insert_cw 150 1.992183 5.01249727445629
iter_best_insert_random 150 2.06022 5.21797037429794
iter_best_transpose_cw 150 0.154221 22.5303893012667
iter_best_transpose_random 150 0.132257 35.5552302318571
iter_first_exchange_cw 150 20.505894 2.72500849330751
iter_first_exchange_random 150 24.206485 2.95051657957667
iter_first_insert_cw 150 11.95989 4.73340263877678
iter_first_insert_random 150 15.21029 5.42909083703441
iter_first_transpose_cw 150 0.11861 22.6181428895067
iter_first_transpose_random 150 0.103298 35.6570413598824
iter_best_exchange_cw 250 48.51333 3.47337136640244
iter_best_exchange_random 250 51.9597 3.57049230707097
iter_best_insert_cw 250 21.310624 5.04870173845386
iter_best_insert_random 250 23.341316 5.02540611679944
iter_best_transpose_cw 250 0.591385 20.6895392510665
iter_best_transpose_random 250 0.549525 33.19687885281
iter_first_exchange_cw 250 296.59919 2.54857717496414
iter_first_exchange_random 250 344.57318 2.68772179729456
iter_first_insert_cw 250 163.33257 4.74463397922102
iter_first_insert_random 250 215.62729 5.27656689916324
iter_first_transpose_cw 250 0.45076 20.7815012756384
iter_first_transpose_random 250 0.406784 33.298616377774
